timestamp,open,high,low,close,volume
1564617600000,10089.25,10488.81,9890.49,10409.79,442037342.04999995
1564704000000,10409.79,10666.64,10340.82,10528.99,463688251.78
1564790400000,10528.99,10915.0,10509.35,10820.41,367536516.76000005
1564876800000,10820.41,11074.95,10572.24,10978.91,431699306.3600001
1564963200000,10978.91,11945.38,10978.89,11807.96,870917186.9599999
1565049600000,11807.96,12316.85,11224.1,11467.1,949534019.9899998
1565136000000,11467.1,12138.55,11393.98,11974.28,834719365.8000001
1565222400000,11974.28,12042.87,11498.04,11982.8,588463519.9200001
1565308800000,11982.8,12027.57,11674.06,11865.21,464214586.71000004
1565395200000,11865.21,11971.35,11232.42,11293.59,470049694.44
1565481600000,11293.59,11584.35,11119.32,11549.06,292814721.19000006
1565568000000,11549.06,11554.74,11240.38,11387.41,229908138.9
1565654400000,11387.41,11439.48,10765.3,10872.0,483240069.78000003
1565740800000,10872.0,10873.44,9924.58,10031.89,728247545.7600001
1565827200000,10031.89,10451.61,9497.12,10308.51,842979140.9000003
1565913600000,10308.51,10544.97,9764.32,10360.43,635040831.47
1566000000000,10360.43,10474.64,10010.76,10220.75,251018339.59
1566086400000,10220.75,10512.89,10079.46,10326.25,223456175.82999995
1566172800000,10326.25,10937.26,10278.31,10922.16,426168059.97
1566259200000,10922.16,10956.06,10576.37,10770.76,332208752.0300001
1566345600000,10770.76,10805.7,9870.07,10131.67,584554031.6800001
1566432000000,10131.67,10231.99,9777.06,10104.11,380411207.72
1566518400000,10104.11,10468.14,10053.67,10410.49,324471966.31
1566604800000,10410.49,10430.99,9911.2,10150.07,283755017.72
1566691200000,10150.07,10353.95,9907.03,10141.75,259448931.14000002
1566777600000,10141.75,10626.93,10141.75,10364.91,437989368.72
1566864000000,10364.91,10381.92,10038.26,10175.47,269489962.46
1566950400000,10175.47,10281.59,9600.83,9722.83,486936428.33000004
1567036800000,9722.83,9724.52,9344.69,9492.81,406305621.25
1567123200000,9492.81,9699.85,9368.27,9587.25,276606372.8900001
1567209600000,9587.25,9714.11,9512.03,9624.54,148320616.41
1567296000000,9624.54,9823.53,9578.66,9768.36,149995549.70999998
1567382400000,9768.36,10459.0,9764.76,10387.5,429220162.81000006
1567468800000,10387.5,10773.27,10296.3,10625.1,550564712.8100001
1567555200000,10625.1,10827.14,10392.88,10585.2,436210232.44
1567641600000,10585.2,10659.6,10475.88,10556.16,253210793.59000003
1567728000000,10556.16,10938.39,10228.17,10309.91,577987384.81
1567814400000,10309.91,10574.99,10304.22,10491.96,197436363.35999998
1567900800000,10491.96,10595.71,10286.85,10420.88,198370974.82000002
1567987200000,10420.88,10514.59,10101.87,10314.88,340516851.62
1568073600000,10314.88,10395.1,9966.94,10109.46,266382297.99999994
1568160000000,10109.46,10251.97,9874.13,10165.01,283998084.25000006
1568246400000,10165.01,10472.07,10057.09,10428.96,275877681.6
1568332800000,10428.96,10591.45,9855.34,10372.29,251594742.16
1568419200000,10372.29,10455.38,10251.96,10365.56,161565882.04
1568505600000,10365.56,10401.53,10279.58,10313.02,120645589.36000001
1568592000000,10313.02,10411.06,10103.87,10271.79,280632567.98999995
1568678400000,10271.79,10297.99,10152.47,10198.62,221966422.12000003
1568764800000,10198.62,10272.19,10100.9,10163.38,221697128.63
1568851200000,10163.38,10368.46,9641.11,10281.03,456963432.59999996
1568937600000,10281.03,10321.18,10065.55,10176.38,213229233.56000006
1569024000000,10176.38,10187.64,9944.61,9988.38,179453539.42999998
1569110400000,9988.38,10096.66,9871.97,10036.98,178007946.6
1569196800000,10036.98,10073.79,9636.2,9694.6,327752087.23
1569283200000,9694.6,9787.58,8107.01,8542.54,1084866143.86
1569369600000,8542.54,8752.2,8246.24,8446.97,631898763.5600002
1569456000000,8446.97,8471.02,7753.71,8074.99,652614929.71
1569542400000,8074.99,8304.22,7888.5,8201.36,390323710.87
1569628800000,8201.36,8345.03,8044.45,8223.65,244186983.14999998
